                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.118,                 3.9174,                 1.4066,                 0.0075,                0.96875,                0.16186,                0.10738,                0.73125,                 3.5997,                 1.2415,                0.08812,                0.00012,                0.00012
                      1,                 1.0242,                 3.8535,                 1.3518,                0.00687,                0.84375,                0.14043,                0.09473,                0.70637,                 3.5392,                  1.195,                0.07525,             0.00024975,             0.00024975
                      2,                0.96937,                  3.793,                 1.3104,                0.00911,                0.84375,                0.17821,                0.12947,                0.69344,                 3.5075,                  1.189,               0.062379,             0.00037925,             0.00037925
                      3,                0.85364,                 3.7164,                 1.2202,                0.01272,                  0.875,                 0.2366,                0.18575,                0.65428,                  3.473,                 1.1527,               0.049508,             0.00050849,             0.00050849
                      4,                0.88198,                 3.6503,                 1.2384,                0.01073,                  0.875,                 0.2826,                0.21593,                0.65109,                 3.4261,                 1.1416,               0.036637,             0.00063747,             0.00063747
                      5,                0.80863,                 3.6094,                 1.2135,                0.00943,                  0.875,                 0.3351,                0.27608,                0.63379,                  3.333,                 1.1439,               0.023766,             0.00076619,             0.00076619
                      6,                0.82414,                 3.4512,                 1.2221,                0.01071,                      1,                0.37863,                0.30149,                0.65774,                 3.2439,                 1.1518,               0.010895,             0.00089465,             0.00089465
                      7,                0.79629,                 3.3882,                 1.1905,                 0.7928,                0.09375,                0.38169,                0.30182,                0.65942,                 3.0573,                 1.1427,             0.00099307,             0.00099307,             0.00099307
                      8,                0.85903,                  3.277,                 1.2156,                0.70839,                0.17657,                0.38744,                0.30066,                0.71001,                 2.7575,                  1.181,             0.00099307,             0.00099307,             0.00099307
                      9,                0.78361,                 3.1325,                 1.1766,                0.51409,                0.47532,                 0.3968,                0.31827,                0.73295,                 2.4057,                 1.1885,             0.00099208,             0.00099208,             0.00099208
                     10,                0.80615,                 2.9735,                 1.1919,                0.46365,                0.56868,                0.38829,                0.30314,                0.78908,                 2.2441,                 1.2493,             0.00099109,             0.00099109,             0.00099109
                     11,                0.82962,                 2.8725,                 1.1877,                0.61827,                0.39375,                0.40623,                0.30928,                0.79929,                 2.5167,                 1.2371,              0.0009901,              0.0009901,              0.0009901
                     12,                0.82429,                 2.7832,                 1.2124,                0.48784,                0.37868,                0.43709,                0.35517,                0.75959,                 2.3504,                 1.2146,             0.00098911,             0.00098911,             0.00098911
                     13,                0.87517,                  2.669,                 1.2334,                0.20376,                0.57693,                0.44407,                0.36189,                0.70813,                 2.1034,                 1.1641,             0.00098812,             0.00098812,             0.00098812
